X,Y,OBJECTID,recordID,individualID,appInstallID,captured_time,submitted_time,image_filepath,action_taken,lat,lng,trained,organization_code,IsImageAdultClassified,IsImageRacyClassified,trained_count
-97.8296170379958,30.4711616548635,9524,9cfe74b2ba2c43a1803630e65b0c64f7_1589225984329,9cfe74b2ba2c43a1803630e65b0c64f7,1.0.40,2020/05/11 19:40:02.940,,https://ec2020-photos.s3.amazonaws.com/plastic-pollution/9cfe74b2ba2c43a1803630e65b0c64f7_1589225984329.jpg,recycle,30.471161654863547,-97.8296170379958,,,false,false,0
-81.2921853510165,41.6641035628508,9525,97f706df4ba14f359072ead1b2715ada_1589224965622,97f706df4ba14f359072ead1b2715ada,1.0.40,2020/05/11 19:23:12.929,,https://ec2020-photos.s3.amazonaws.com/plastic-pollution/97f706df4ba14f359072ead1b2715ada_1589224965622.jpg,leave,41.66410356285083,-81.29218535101649,,,false,false,0
-121.881363588965,37.376417711414,9526,bb2aa0ab8fad4b61b7f274d63195e83e_1589216478081,bb2aa0ab8fad4b61b7f274d63195e83e,1.0.40,2020/05/11 17:01:34.410,,https://ec2020-photos.s3.amazonaws.com/plastic-pollution/bb2aa0ab8fad4b61b7f274d63195e83e_1589216478081.jpg,trash,37.37641771141402,-121.88136358896473,,,false,false,0
-73.5931574678009,45.5337161729636,9527,3f625b3c838c4f60bc832b5317659cdc_1589206971809,3f625b3c838c4f60bc832b5317659cdc,1.0.40,2020/05/11 14:23:03.143,,https://ec2020-photos.s3.amazonaws.com/plastic-pollution/3f625b3c838c4f60bc832b5317659cdc_1589206971809.jpg,trash,45.533716172963594,-73.59315746780092,,,false,false,0
-77.0348587,38.9914487,9528,9ab8c5588ceb415784c4606379adfd6e_1589206574944,9ab8c5588ceb415784c4606379adfd6e,1.0.40,2020/05/11 14:16:24.183,,https://ec2020-photos.s3.amazonaws.com/plastic-pollution/9ab8c5588ceb415784c4606379adfd6e_1589206574944.jpg,trash,38.9914487,-77.0348587,,ec2020team,false,false,0
-77.0358859373612,38.9919260468681,9529,5a32b436a0344c93b15ba212193aaa3c_1589205874391,5a32b436a0344c93b15ba212193aaa3c,4.2.80,2020/05/11 14:04:41.628,,https://ec2020-photos.s3.amazonaws.com/plastic-pollution/5a32b436a0344c93b15ba212193aaa3c_1589205874391.jpg,trash,38.99192604686805,-77.03588593736116,,ec2020team,false,false,0
150.682312297708,-33.8033573487282,9530,fbd93b76f9a846e6a8a387a6c0f4e8a3_1589180656723,fbd93b76f9a846e6a8a387a6c0f4e8a3,1.0.40,2020/05/11 07:04:23.124,,https://ec2020-photos.s3.amazonaws.com/plastic-pollution/fbd93b76f9a846e6a8a387a6c0f4e8a3_1589180656723.jpg,recycle,-33.803357348728206,150.68231229770768,,,false,false,0
150.682538886771,-33.802904739677,9531,fbd93b76f9a846e6a8a387a6c0f4e8a3_1589180611350,fbd93b76f9a846e6a8a387a6c0f4e8a3,1.0.40,2020/05/11 07:03:39.436,,https://ec2020-photos.s3.amazonaws.com/plastic-pollution/fbd93b76f9a846e6a8a387a6c0f4e8a3_1589180611350.jpg,recycle,-33.80290473967704,150.68253888677123,,,false,false,0
150.683051375813,-33.8029972231331,9532,fbd93b76f9a846e6a8a387a6c0f4e8a3_1589180568970,fbd93b76f9a846e6a8a387a6c0f4e8a3,1.0.40,2020/05/11 07:03:01.695,,https://ec2020-photos.s3.amazonaws.com/plastic-pollution/fbd93b76f9a846e6a8a387a6c0f4e8a3_1589180568970.jpg,recycle,-33.80299722313304,150.68305137581254,,,false,false,0
150.682583733831,-33.802366589518,9533,fbd93b76f9a846e6a8a387a6c0f4e8a3_1589180545704,fbd93b76f9a846e6a8a387a6c0f4e8a3,1.0.40,2020/05/11 07:02:33.638,,https://ec2020-photos.s3.amazonaws.com/plastic-pollution/fbd93b76f9a846e6a8a387a6c0f4e8a3_1589180545704.jpg,recycle,-33.802366589518,150.68258373383142,,,false,false,0
